threshold,tp,fp,tn,fn,precision,recall,f1,accuracy,fpr,fnr,expected_cost_r50,expected_cost_r10,expected_cost_r20,expected_cost_r30,expected_cost_r100
20.0,67,0,233,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,67,0,233,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,67,0,233,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,63,0,233,4,1.0,0.9403,0.9692,0.9867,0.0,0.0597,20000.0,4000.0,8000.0,12000.0,40000.0
40.0,59,0,233,8,1.0,0.8806,0.9365,0.9733,0.0,0.1194,40000.0,8000.0,16000.0,24000.0,80000.0
45.0,52,0,233,15,1.0,0.7761,0.8739,0.95,0.0,0.2239,75000.0,15000.0,30000.0,45000.0,150000.0
50.0,44,0,233,23,1.0,0.6567,0.7928,0.9233,0.0,0.3433,115000.0,23000.0,46000.0,69000.0,230000.0
55.0,39,0,233,28,1.0,0.5821,0.7358,0.9067,0.0,0.4179,140000.0,28000.0,56000.0,84000.0,280000.0
60.0,37,0,233,30,1.0,0.5522,0.7115,0.9,0.0,0.4478,150000.0,30000.0,60000.0,90000.0,300000.0
65.0,37,0,233,30,1.0,0.5522,0.7115,0.9,0.0,0.4478,150000.0,30000.0,60000.0,90000.0,300000.0
70.0,35,0,233,32,1.0,0.5224,0.6863,0.8933,0.0,0.4776,160000.0,32000.0,64000.0,96000.0,320000.0
75.0,35,0,233,32,1.0,0.5224,0.6863,0.8933,0.0,0.4776,160000.0,32000.0,64000.0,96000.0,320000.0
80.0,35,0,233,32,1.0,0.5224,0.6863,0.8933,0.0,0.4776,160000.0,32000.0,64000.0,96000.0,320000.0
85.0,35,0,233,32,1.0,0.5224,0.6863,0.8933,0.0,0.4776,160000.0,32000.0,64000.0,96000.0,320000.0
90.0,35,0,233,32,1.0,0.5224,0.6863,0.8933,0.0,0.4776,160000.0,32000.0,64000.0,96000.0,320000.0
